Page,Pageviews,Unique Pageviews,,,,20090102-20150201
/plaques/2885,9635,8147,84.56%,,,
/plaques/2825,8087,6564,81.17%,,,
/plaques/189,3756,3044,81.04%,,,
/plaques/595,2633,2055,78.05%,,,
/plaques/3276,2104,1693,80.47%,,,
/plaques/628,1756,1422,80.98%,,,
/plaques/6498,1600,1378,86.13%,,,
/plaques/1755,1419,1077,75.90%,,,
/plaques/2921,1405,1181,84.06%,,,
/plaques/381,1345,994,73.90%,,,
/plaques/1619,1329,1000,75.24%,,,
/plaques/1114,1304,959,73.54%,,,
/plaques/35,1236,1027,83.09%,,,
/plaques/1842,1140,912,80.00%,,,
/plaques/5406,1096,841,76.73%,,,
/plaques/3278,1036,852,82.24%,,,
/plaques/61,997,841,84.35%,,,
/plaques/3266,945,718,75.98%,,,
/plaques/1141,937,696,74.28%,,,
/plaques/937,926,803,86.72%,,,
/plaques/530,904,649,71.79%,,,
/plaques/548,882,759,86.05%,,,
/plaques/1105,879,701,79.75%,,,
/plaques/22,863,808,93.63%,,,
/plaques/6,827,710,85.85%,,,
/plaques/2869,811,581,71.64%,,,
/plaques/7484,811,655,80.76%,,,
/plaques/4306,808,701,86.76%,,,
/plaques/178,770,625,81.17%,,,
/plaques/4414,762,614,80.58%,,,
/plaques/2,753,575,76.36%,,,
/plaques/500,753,570,75.70%,,,
/plaques/2210,734,592,80.65%,,,
/plaques/5586,729,545,74.76%,,,
/plaques/8284,720,614,85.28%,,,
/plaques/25,704,534,75.85%,,,
/plaques/1553,677,542,80.06%,,,
/plaques/2196,657,548,83.41%,,,
/plaques/4754,655,548,83.66%,,,
/plaques/181,641,562,87.68%,,,
/plaques/3478,638,468,73.35%,,,
/plaques/768,638,466,73.04%,,,
/plaques/287,625,540,86.40%,,,
/plaques/1324,622,463,74.44%,,,
/plaques/138,622,490,78.78%,,,
/plaques/127,614,452,73.62%,,,
/plaques/1968,603,523,86.73%,,,
/plaques/426,600,471,78.50%,,,
/plaques/2345,594,436,73.40%,,,
/plaques/1644,592,479,80.91%,,,
/plaques/395,589,458,77.76%,,,
/plaques/805,575,392,68.17%,,,
/plaques/2198,573,444,77.49%,,,
/plaques/8725,567,468,82.54%,,,
/plaques/416,564,441,78.19%,,,
/plaques/3268,559,444,79.43%,,,
/plaques/1298,545,449,82.39%,,,
/plaques/4748,545,427,78.35%,,,
/plaques/1,540,441,81.67%,,,
/plaques/1167,540,466,86.30%,,,
/plaques/200,537,471,87.71%,,,
/plaques/683,534,386,72.28%,,,
/plaques/976,529,438,82.80%,,,
/plaques/1083,523,400,76.48%,,,
/plaques/480,523,433,82.79%,,,
/plaques/4870,518,452,87.26%,,,
/plaques/3722,512,414,80.86%,,,
/plaques/603,512,433,84.57%,,,
/plaques/19,504,367,72.82%,,,
/plaques/297,501,367,73.25%,,,
/plaques/1103,490,411,83.88%,,,
/plaques/6370,490,419,85.51%,,,
/plaques/3770,488,392,80.33%,,,
/plaques/4470,485,394,81.24%,,,
/plaques/8653,479,321,67.01%,,,
/plaques/445,477,389,81.55%,,,
/plaques/94,474,419,88.40%,,,
/plaques/580,471,334,70.91%,,,
/plaques/1955,468,326,69.66%,,,
/plaques/353,468,373,79.70%,,,
/plaques/13,466,384,82.40%,,,
/plaques/396,466,375,80.47%,,,
/plaques/2365,463,362,78.19%,,,
/plaques/488,463,348,75.16%,,,
/plaques/3274,460,362,78.70%,,,
/plaques/1397,455,353,77.58%,,,
/plaques/543,455,329,72.31%,,,
/plaques/6496,455,345,75.82%,,,
/plaques/2063,452,348,76.99%,,,
/plaques/412,452,384,84.96%,,,
/plaques/592,452,359,79.42%,,,
/plaques/806,452,386,85.40%,,,
/plaques/1569,447,375,83.89%,,,
/plaques/524,444,331,74.55%,,,
/plaques/559,444,373,84.01%,,,
/plaques/1234,441,326,73.92%,,,
/plaques/4752,436,340,77.98%,,,
/plaques/1483,433,321,74.13%,,,
/plaques/307,430,279,64.88%,,,
/plaques/286,427,340,79.63%,,,
/plaques/332,427,351,82.20%,,,
/plaques/651,427,359,84.07%,,,
/plaques/1627,425,329,77.41%,,,
/plaques/1945,425,359,84.47%,,,
/plaques/2206,425,375,88.24%,,,
/plaques/2557,425,373,87.76%,,,
/plaques/4250,422,340,80.57%,,,
/plaques/1207,419,321,76.61%,,,
/plaques/1742,419,282,67.30%,,,
